assigned_gid,video,frame,local_track_id,compared_to_gid,cosine_sim,hist_sim,iou
2,Video_1.mp4,46,3,2,0.8872291,0.9878821788479816,0
0,Video_1.mp4,47,1,0,0.9517157,0.9928368237721664,0
0,Video_1.mp4,47,1,1,0.48070043,0.40961150541470126,0
0,Video_1.mp4,47,1,2,0.48979548,0.35675620446232936,0
1,Video_1.mp4,47,2,1,0.90731585,0.9862397181700099,0
1,Video_1.mp4,47,2,2,0.7925323,0.8908762392834727,0
2,Video_1.mp4,47,3,2,0.894943,0.9699076134154698,0
0,Video_1.mp4,48,1,0,0.95974135,0.995058869446957,0
0,Video_1.mp4,48,1,1,0.47409245,0.41266224985495226,0
0,Video_1.mp4,48,1,2,0.48560482,0.3596585829173804,0
1,Video_1.mp4,48,2,1,0.9029583,0.9942263976298589,0
1,Video_1.mp4,48,2,2,0.80381304,0.8980387622341385,0
2,Video_1.mp4,48,3,2,0.9019302,0.9860865166780117,0
0,Video_1.mp4,49,1,0,0.9522128,0.9758879691181872,0
0,Video_1.mp4,49,1,1,0.4806377,0.37046239472480014,0
0,Video_1.mp4,49,1,2,0.49620944,0.3474493950973809,0
1,Video_1.mp4,49,2,1,0.87561524,0.9946283411241477,0
1,Video_1.mp4,49,2,2,0.806162,0.8931034427942387,0
2,Video_1.mp4,49,3,2,0.9082744,0.9812130276107575,0
0,Video_1.mp4,50,1,0,0.95323753,0.9925268183798196,0
0,Video_1.mp4,50,1,1,0.4993084,0.36825543734379806,0
0,Video_1.mp4,50,1,2,0.5155666,0.34318829121495953,0
1,Video_1.mp4,50,2,1,0.8662671,0.9862723048919612,0
1,Video_1.mp4,50,2,2,0.7792776,0.8978244746536601,0
2,Video_1.mp4,50,3,2,0.91404843,0.9733178511604341,0
0,Video_1.mp4,51,1,0,0.9538424,0.9882161294140808,0
0,Video_1.mp4,51,1,1,0.4998976,0.35426477560720926,0
0,Video_1.mp4,51,1,2,0.5119154,0.3282137099206951,0
1,Video_1.mp4,51,2,1,0.882128,0.9792715884928181,0
1,Video_1.mp4,51,2,2,0.78473425,0.8886473966280326,0
2,Video_1.mp4,51,3,2,0.9193155,0.9742380470022192,0
0,Video_1.mp4,52,1,0,0.9616046,0.9920455290353556,0
0,Video_1.mp4,52,1,1,0.4919328,0.3524932220094388,0
0,Video_1.mp4,52,1,2,0.5027782,0.3279254087401273,0
1,Video_1.mp4,52,2,1,0.8762517,0.9891842608243476,0
1,Video_1.mp4,52,2,2,0.7945674,0.8867224873383884,0
2,Video_1.mp4,52,3,2,0.924131,0.9819865690539525,0
0,Video_1.mp4,53,1,0,0.9560817,0.9894622424898479,0
0,Video_1.mp4,53,1,1,0.4957181,0.3550246185920422,0
0,Video_1.mp4,53,1,2,0.5053327,0.32950384532901866,0
1,Video_1.mp4,53,2,1,0.8681166,0.9875915183735269,0
1,Video_1.mp4,53,2,2,0.78111684,0.8662000175905283,0
2,Video_1.mp4,53,3,2,0.9285431,0.9863549046405997,0
0,Video_1.mp4,54,1,0,0.9549229,0.9832212154637537,0
0,Video_1.mp4,54,1,1,0.5082141,0.35345260437466763,0
0,Video_1.mp4,54,1,2,0.51161397,0.3281558730183696,0
1,Video_1.mp4,54,2,1,0.8601909,0.9714470936990505,0
1,Video_1.mp4,54,2,2,0.77015674,0.851819262711004,0
2,Video_1.mp4,54,3,2,0.9325938,0.9821499835607473,0
0,Video_1.mp4,55,1,0,0.94647276,0.9782766253385833,0
0,Video_1.mp4,55,1,1,0.5122349,0.40831928257367495,0
0,Video_1.mp4,55,1,2,0.5040786,0.3571220701760646,0
1,Video_1.mp4,55,2,1,0.85853255,0.972123802086783,0
1,Video_1.mp4,55,2,2,0.76398766,0.8745161677176488,0
2,Video_1.mp4,55,3,2,0.93632054,0.9705385163129383,0
0,Video_1.mp4,56,1,0,0.9440234,0.9802428756803713,0
0,Video_1.mp4,56,1,1,0.5198233,0.4366450068353958,0
0,Video_1.mp4,56,1,2,0.50634015,0.36083347383665243,0
1,Video_1.mp4,56,2,1,0.84943235,0.9862011308772398,0
1,Video_1.mp4,56,2,2,0.7476347,0.8672224638394037,0
2,Video_1.mp4,56,3,2,0.93975556,0.9859597664049138,0
0,Video_1.mp4,57,1,0,0.94408405,0.9862645807317941,0
0,Video_1.mp4,57,1,1,0.53130203,0.413040717522362,0
0,Video_1.mp4,57,1,2,0.5257338,0.3535039880128826,0
1,Video_1.mp4,57,2,1,0.8066382,0.9775920199644362,0
1,Video_1.mp4,57,2,2,0.71848357,0.8659054769929121,0
2,Video_1.mp4,57,3,2,0.94292766,0.9781145471951674,0
0,Video_1.mp4,58,1,0,0.9499674,0.9860355782108613,0
0,Video_1.mp4,58,1,1,0.5260633,0.4170782214420073,0
0,Video_1.mp4,58,1,2,0.52346915,0.3530639463687339,0
1,Video_1.mp4,58,2,1,0.8490081,0.9779412545893247,0
1,Video_1.mp4,58,2,2,0.78185797,0.8459477074025911,0
2,Video_1.mp4,58,3,2,0.9458624,0.9758749133518179,0
0,Video_1.mp4,59,1,0,0.9453084,0.9856374620271214,0
0,Video_1.mp4,59,1,1,0.5338725,0.42418841712860283,0
0,Video_1.mp4,59,1,2,0.5287675,0.36079542456873953,0
1,Video_1.mp4,59,2,1,0.84287506,0.9834802121913322,0
1,Video_1.mp4,59,2,2,0.78260463,0.8403423255330476,0
2,Video_1.mp4,59,3,2,0.94858205,0.9823127340710553,0
0,Video_1.mp4,60,1,0,0.95043325,0.9836873461002326,0
0,Video_1.mp4,60,1,1,0.5353916,0.45209738098484925,0
0,Video_1.mp4,60,1,2,0.5364176,0.37529200216214476,0
1,Video_1.mp4,60,2,1,0.84077454,0.9843770181769671,0
1,Video_1.mp4,60,2,2,0.778373,0.7987074778608505,0
2,Video_1.mp4,60,3,2,0.9511068,0.9730825508479355,0
0,Video_1.mp4,61,1,0,0.9535152,0.9824560336223288,0
0,Video_1.mp4,61,1,1,0.54837346,0.4533494156176858,0
0,Video_1.mp4,61,1,2,0.5382544,0.3697100880108166,0
1,Video_1.mp4,61,2,1,0.83836657,0.9747138359703128,0
1,Video_1.mp4,61,2,2,0.7713782,0.7687350659879492,0
2,Video_1.mp4,61,3,2,0.9556403,0.9775363504629416,0
